Source,Redshift,RA,DEC,Ref.,HSC coverage,HST Coverage,JWST Coverage
G15v2.779,4.243,13:51.9,-00:00:26.00,"\cite{Negrello_2017, Yang_2017}","g, r, i, z, y",F110W,No
HerBS-185,4.3238,24:08.9,-00:50:18.1,\cite{Cox_2023},"g, r, i, z, y","F110W, F475X",No
HeLMS-10,4.3726,52:58.6,+06:13:19,\cite{Cox_2023},No,"F160W,  F435W, F105W, F110W",No
HerBS-27,4.509,14:24.0,-33:36:16.5,\cite{Urquhart_2022},No,No,No
HerBS-117A,4.526,08:07.2,-35:12:05.0,\cite{Urquhart_2022},No,No,No
HerS-11,4.6618,58:47.2,-01:00:16.2,\cite{Cox_2023},"g, r, z",No,No
HeLMS-19 E,4.6871,22:10.2,-03:35:59.8,\cite{Cox_2023},No,"F845M, F110W",No
HeLMS-19 W,4.6882,22:10.0,-03:36:01.4,\cite{Cox_2023},No,"F845M, F110W",No
HeLMS-24,4.9841,38:14.0,-00:22:52.5,\cite{Cox_2023},"g, r, i, z, y","F645N,MIRVIS,  F475X, F110W",No
HeLMS-29,5.1614,22:20.9,-01:55:20,\cite{Cox_2023},No,"F160W,MIRVIS, F125W,  F105W, G750M, F110W",No
HeLMS-45,5.3994,12:27.1,08:06.4,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W",No
HerBS-38 NE,6.5678,46:09.1,19:34.1,\cite{Cox_2023},"g, r, i, z, y","F110W, F475X",No
,,,,,,,
,,,,,,,
