Source,Redshift,RA,DEC,Ref.,HSC coverage,HST Coverage,JWST Coverage
HerBS-182,2.227,05:38.8,-31:22:05.6,\cite{Urquhart_2022},No,F110W,No
HerBS-77A,2.228,56:29.2,-31:12:07.5,\cite{Urquhart_2022},No,No,No
HerBS-80A,2.231,00:02.5,-31:50:08.9,\cite{Bendo_2023},No,F110W,No
HerBS-159B,2.235,51:22.4,-33:29:08.0,\cite{Bendo_2023},No,F110W,No
HerBS-159A,2.236,51:21.7,-33:29:00.4,\cite{Bendo_2023},No,F110W,No
HerBS-143,2.2406,18:10.1,-00:37:45.5,\cite{Cox_2023},"g, r, i, z, y","F373N, F110W",No
HerS-8,2.2431,09:38.9,-01:48:22.9,\cite{Cox_2023},No,No,No
HerS-12,2.2706,25:46.2,-00:11:42.2,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HeLMS-34,2.2714,27:19.6,12:02.5,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-209A,2.272,49:21.0,-33:29:41.5,\cite{Urquhart_2022},No,No,No
HerBS-124 W,2.2772,21:58.5,33:24.9,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-124 E,2.2781,21:58.7,33:25.0,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HeLMS-55,2.2834,28:31.8,-00:40:36.6,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W, F475X",No
HeLMS-43,2.2912,34:20.1,-00:34:58.1,\cite{Cox_2023},"g, i, z, y","F502N, F110W",No
HeLMS-8,2.2919,47:23.6,+01:57:51,\cite{Cox_2023},g,F110W,No
HeLMS-17 W,2.2972,25:57.9,-04:45:25.5,\cite{Cox_2023},No,F110W,No
HeLMS-17 E,2.2983,25:58.6,-04:45:25.6,\cite{Cox_2023},No,F110W,No
HerBS-1,2.301,44:29.5,+30:30:34,"\cite{Yang_2017, Cox_2023}",No,"MIRVIS,  F814W, F110W",No
HerS-15,2.3019,21:06.8,34:55.8,\cite{Cox_2023},"g, r, i, z, y",No,No
SDP.17b,2.3049,03:03.0,-01:41:27.24,\cite{Negrello_2017},"g, r, i, z, y","F160W, F110W",No
HerBS-70 E,2.3077,01:40.3,29:16.2,\cite{Neri_2020},No,No,No
HXMM0I,2.3079,20:16.5,-06:01:43.00,"\cite{Fu_2013, Wu_2019}","g, r, i, z, y",F110W,No
HerBS-70 W,2.3115,01:39.3,29:25.2,\cite{Neri_2020},No,No,No
Cosmic Eyelash,2.3259,35:11.6,-01:02:52.00,\cite{Swinbank_2010},No,"F336W, F502N, F814W, F140W,  F606W, F555W, F110W","F356W, F277W, F444W, F182M, F150W, F115W"
HerBS-76 E,2.3302,35:34.1,18:34.8,\cite{Cox_2023},No,"F350LP, F110W",No
HerBS-194 S,2.3316,55:21.0,-00:36:11.9,\cite{Cox_2023},"g, r, i, z, y",No,No
HerBS-76 W,2.3319,35:33.8,18:33.4,\cite{Cox_2023},No,"F350LP, F110W",No
